BOROUGH,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,BUILDING TYPE
Manhattan,0,15,15,0.00193340113047797,0.030395420423322887,1900,109000000.0,COMMERCIAL
Manhattan,0,6,6,0.005982782678617884,0.040404845669919066,1930,153000000.0,COMMERCIAL
Manhattan,5,2,7,0.0005368587848544333,0.0035274685280751034,1910,3781000.0,MIXED USE
Manhattan,0,2,2,0.00043800108790766973,0.0013339323541919684,1901,9300000.0,COMMERCIAL
Manhattan,0,1,1,0.001830995908521155,0.014485284217177945,1900,32250000.0,COMMERCIAL
Manhattan,1,0,1,0.00038786273443227774,0.0006399035878594291,1901,7800000.0,RESIDENTIAL
Manhattan,1,0,1,9.081664025731382e-05,0.000307153722172526,1901,1375000.0,RESIDENTIAL
Manhattan,1,0,1,9.081664025731382e-05,0.000307153722172526,1901,1375000.0,RESIDENTIAL
Manhattan,1,1,2,0.00021876404228649812,0.0006231061186781192,1910,4065000.0,MIXED USE
Manhattan,1,0,1,0.00041718894118203533,0.0010859697138964396,1910,19000000.0,RESIDENTIAL
Manhattan,1,1,2,0.0003370148759548755,0.0008105445446219436,1899,11139450.0,MIXED USE
Manhattan,1,1,2,0.00017903176217392333,0.000494325521621409,1900,5550000.0,MIXED USE
Manhattan,2,1,3,0.00041387791783932076,0.0009278602023961723,1900,6800000.0,MIXED USE
Manhattan,2,1,3,0.0003235342809166805,0.0011198312787540012,1920,9750000.0,MIXED USE
Manhattan,2,1,3,0.0002838020008041057,0.0007145590064430293,1910,5570000.0,MIXED USE
Manhattan,2,0,2,0.0003798216777428281,0.001209951034044204,1920,9600000.0,RESIDENTIAL
Manhattan,2,0,2,0.000610410803396164,0.0018463884774693946,1899,14000000.0,RESIDENTIAL
Manhattan,2,0,2,0.0002230210722985597,0.000715625512422795,1899,3950000.0,RESIDENTIAL
Manhattan,2,0,2,0.00045053567627651776,0.0009598553817891437,1905,15000000.0,RESIDENTIAL
Manhattan,2,1,3,0.00022467658396991698,0.0006223062391932948,1901,8900000.0,MIXED USE
Manhattan,2,0,2,0.00019866140056287398,0.0005759132290734863,1899,7000000.0,RESIDENTIAL
Manhattan,2,0,2,0.0003954307877870539,0.0009865180312832868,1899,7400000.0,RESIDENTIAL
Manhattan,3,0,3,0.00044935316793983396,0.0010025156209797724,1899,11300000.0,RESIDENTIAL
Manhattan,3,0,3,0.0007085589953409172,0.0015331023459132158,1910,27400000.0,RESIDENTIAL
Manhattan,5,0,5,0.0005134451197880946,0.0009395917681735952,1900,313000.0,RESIDENTIAL
Manhattan,4,0,4,0.0005664214932715276,0.000638570455384722,1915,6500000.0,RESIDENTIAL
Manhattan,24,1,25,0.0009417496393349573,0.004479325115016005,1900,18000000.0,MIXED USE
Manhattan,10,0,10,0.0004942884847338174,0.0013022038012939384,1910,7500000.0,RESIDENTIAL
Manhattan,11,0,11,0.00043161554288957736,0.001905046306356509,1900,6260000.0,RESIDENTIAL
Manhattan,34,0,34,0.0008483314807369392,0.003557064069013602,1910,15700000.0,RESIDENTIAL
Manhattan,10,0,10,0.00041387791783932076,0.0018463884774693946,1900,10.0,RESIDENTIAL
Manhattan,33,4,37,0.0011411205448998416,0.005351993632959301,1905,21000000.0,MIXED USE
Manhattan,7,0,7,0.00045053567627651776,0.0010771710395633724,1910,9000000.0,RESIDENTIAL
Manhattan,24,0,24,0.001123382919849585,0.005302667731395137,1905,18000000.0,RESIDENTIAL
Manhattan,36,0,36,0.0013050162003642126,0.006048688664241254,1910,20000000.0,RESIDENTIAL
Manhattan,11,0,11,0.0005321287515076982,0.0025462830266906452,1930,12750000.0,RESIDENTIAL
Manhattan,35,1,36,0.0011825083366837736,0.006829371041429758,1910,31000000.0,MIXED USE
Manhattan,10,0,10,0.00036066504268855097,0.0016410860763644945,1910,10.0,RESIDENTIAL
Manhattan,74,2,76,0.0008104912139630584,0.012746879470159829,1929,12576515.0,MIXED USE
Manhattan,21,6,27,0.0009133694392545467,0.00475288389882591,1940,24991000.0,MIXED USE
Manhattan,5,1,6,0.0004718208263368257,0.0015957595722244516,1900,14000000.0,MIXED USE
Manhattan,0,11,11,0.004734526878414493,0.041147933711320826,1911,205961801.0,COMMERCIAL
Manhattan,0,1,1,0.0006366624884705437,0.0014397830726837156,1967,10200000.0,COMMERCIAL
Manhattan,0,2,2,0.0009618522810585815,0.001213150551983501,1920,6800000.0,COMMERCIAL
Manhattan,2,1,3,0.0004942884847338174,0.0011262303146325954,1880,6856750.0,MIXED USE
Manhattan,0,1,1,0.0011848733533571412,0.007989996173909797,1920,29163200.0,COMMERCIAL
